Head,Relation,Tail,Context
Cosme Pérez,pertenecer a,; en el archivo,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien le envió este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía ; el primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la ***Genealogía***, fue el celebrado el 25 de junio ; en el archivo de la Parroquia de San Sebastián de Madrid, según Cotarelo, constaba la defunción, el 18 de septiembre, en la Calle del Niño, donde vivía, de un hijo de Cosme Pérez —probablemente de muy corta edad, según Cotarelo."
Cosme Pérez,pertenecer a,la compañía,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien le envió este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía ; el primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la ***Genealogía***, fue el celebrado el 25 de junio ; en el archivo de la Parroquia de San Sebastián de Madrid, según Cotarelo, constaba la defunción, el 18 de septiembre, en la Calle del Niño, donde vivía, de un hijo de Cosme Pérez —probablemente de muy corta edad, según Cotarelo."
Cosme Pérez,asistir,"la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la ***Genealogía***","Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien le envió este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía ; el primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la ***Genealogía***, fue el celebrado el 25 de junio ; en el archivo de la Parroquia de San Sebastián de Madrid, según Cotarelo, constaba la defunción, el 18 de septiembre, en la Calle del Niño, donde vivía, de un hijo de Cosme Pérez —probablemente de muy corta edad, según Cotarelo."
Cosme Pérez,volver,Cotarelo,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández ; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía ; según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos .<br><br"
Cosme Pérez,volver,este año,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández ; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía ; según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos .<br><br"
Cosme Pérez,volver,Cofradía de Nuestra Señora de la Novena,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández ; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía ; según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos .<br><br"
Pedro,bautizar en,iglesia de Nuestra Señora de San Lorenzo de Valladolid,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández ; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía ; según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos .<br><br"
Pedro,bautizar en,; según un documento fechado en Valladolid el 9 de marzo,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández ; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía ; según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos .<br><br"
Juan Rana,liberar,la fiesta,"por la fiesta del Corpus y tres caballerías para los viajes ; según consta en una carta que refiere sucesos del 22 al 29 de noviembre, en esos días 'Juan Rana', que había sido detenido acusado de ""pecado nefando"", fue liberado."
Juan Rana,formar parte,la compañía,"Juan Rana formó parte de la compañía de Pedro de la Rosa  que representó en el Corpus de Sevilla  —Cotarelo, al tomar esta información de Sánchez Arjona, afirma que estuvo en Sevilla y Málaga , pero nada dice éste sobre una estancia en Málaga—.<br><br>"
Cosme Pérez,entregar,una limosna,"Cosme Pérez entregó una limosna a la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que formaba parte ; la Cofradía de Nuestra Señora de la Novena encargó a Cosme Pérez ""ordenar lo relativo a unos enterramientos que para actores había dejado el antiguo actor Rodrigo de Saavedra"" .<br><br"
Cosme Pérez,entregar,Cofradía de Nuestra Señora de la Novena,"Cosme Pérez entregó una limosna a la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que formaba parte ; la Cofradía de Nuestra Señora de la Novena encargó a Cosme Pérez ""ordenar lo relativo a unos enterramientos que para actores había dejado el antiguo actor Rodrigo de Saavedra"" .<br><br"
Cotarelo,suponer,partir de esta noticia,"Por su parte, según supone Cotarelo —probablemente a partir de esta noticia de la ***Genealogía***—, pasó la primera parte del año en Valencia, desde donde llevó a Madrid una limosna para la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que formaba parte  —sin embargo, se documenta la estancia de la compañía de Pedro de la Rosa, a la que al parecer pertenecía Cosme Pérez, en Valencia a partir de septiembre: véase la entrada correspondiente—; consta una orden de los comisarios de las fiestas del Corpus, fechada en Madrid el 3 de marzo, para que Antonio de Prado y Pedro de la Rosa , autores de comedias, no salieran de Madrid hasta que hubieran dado las muestras de sus compañías y se hubiera señalado las que debían representar en las fiestas del Corpus."
Antonio de Prado,salir de,Madrid,"Por su parte, según supone Cotarelo —probablemente a partir de esta noticia de la ***Genealogía***—, pasó la primera parte del año en Valencia, desde donde llevó a Madrid una limosna para la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que formaba parte  —sin embargo, se documenta la estancia de la compañía de Pedro de la Rosa, a la que al parecer pertenecía Cosme Pérez, en Valencia a partir de septiembre: véase la entrada correspondiente—; consta una orden de los comisarios de las fiestas del Corpus, fechada en Madrid el 3 de marzo, para que Antonio de Prado y Pedro de la Rosa , autores de comedias, no salieran de Madrid hasta que hubieran dado las muestras de sus compañías y se hubiera señalado las que debían representar en las fiestas del Corpus."
Catalina,comprometer,nombre de su marido,"En nombre de su marido, Catalina se comprometía asimismo a pagar 456 rs."
Cosme Pérez,hacer,su lugar,"El autor no sabía firmar y en su lugar lo hizo Cosme Pérez ; el 19 de marzo, en Madrid, Pedro de la Rosa  dio una nueva lista de su compañía a los comisarios de las fiestas del Corpus y en la misma figura Cosme Pérez, aunque el autor apuntó que ""está indeciso porque no quiere representar"" ; consta un decreto de los comisarios de las fiestas del Corpus, fechado en Madrid el 21 de marzo, por el que se ordenaba volver a notificar a Cosme Pérez, gracioso, y a Antonio Marín, gracioso, que no salieran de la Corte sin licencia o mandato de los comisarios, bajo pena de 200 dcs."
Pedro de la Rosa,dar,una nueva lista,"El autor no sabía firmar y en su lugar lo hizo Cosme Pérez ; el 19 de marzo, en Madrid, Pedro de la Rosa  dio una nueva lista de su compañía a los comisarios de las fiestas del Corpus y en la misma figura Cosme Pérez, aunque el autor apuntó que ""está indeciso porque no quiere representar"" ; consta un decreto de los comisarios de las fiestas del Corpus, fechado en Madrid el 21 de marzo, por el que se ordenaba volver a notificar a Cosme Pérez, gracioso, y a Antonio Marín, gracioso, que no salieran de la Corte sin licencia o mandato de los comisarios, bajo pena de 200 dcs."
Pedro de la Rosa,dar,los comisarios,"El autor no sabía firmar y en su lugar lo hizo Cosme Pérez ; el 19 de marzo, en Madrid, Pedro de la Rosa  dio una nueva lista de su compañía a los comisarios de las fiestas del Corpus y en la misma figura Cosme Pérez, aunque el autor apuntó que ""está indeciso porque no quiere representar"" ; consta un decreto de los comisarios de las fiestas del Corpus, fechado en Madrid el 21 de marzo, por el que se ordenaba volver a notificar a Cosme Pérez, gracioso, y a Antonio Marín, gracioso, que no salieran de la Corte sin licencia o mandato de los comisarios, bajo pena de 200 dcs."
Pedro de la Rosa,decir,Pero al día siguiente de hacerse las notificaciones,"Pero al día siguiente de hacerse las notificaciones, Pedro de la Rosa, autor de comedias, dijo que consentía que Antonio Marín, gracioso en la compañía de Alonso de Paz, se fuera con ésta, pues él tenía concertado con Cosme Pérez, gracioso, que representara en su compañía durante las fiestas del Corpus y el resto del año, por lo cual pedía que se eliminase el embargo a la compañía del autor Alonso de Paz para que pudiera ir donde quisiera y llevar consigo a Antonio Marín, lo cual se hizo ese mismo día ; en la documentación relativa a las fiestas del Corpus madrileño se indica, con fecha del 15 de julio, Cosme Pérez, miembro de la compañía de Pedro de la Rosa, autor de comedias, recibió 50 dcs."
Cosme Pérez,recibir,50 dcs,"Pero al día siguiente de hacerse las notificaciones, Pedro de la Rosa, autor de comedias, dijo que consentía que Antonio Marín, gracioso en la compañía de Alonso de Paz, se fuera con ésta, pues él tenía concertado con Cosme Pérez, gracioso, que representara en su compañía durante las fiestas del Corpus y el resto del año, por lo cual pedía que se eliminase el embargo a la compañía del autor Alonso de Paz para que pudiera ir donde quisiera y llevar consigo a Antonio Marín, lo cual se hizo ese mismo día ; en la documentación relativa a las fiestas del Corpus madrileño se indica, con fecha del 15 de julio, Cosme Pérez, miembro de la compañía de Pedro de la Rosa, autor de comedias, recibió 50 dcs."
Rey,escribir,"; en una carta, fechada el 9 de junio de este año","Consta un poder, otorgado en Madrid el 22 de marzo, de Antonio García de Prado, autor de comedias, a favor de Cosme Pérez y Francisco Ortiz, miembros de su compañía, para que concertara fiestas en su nombre ; en una carta, fechada el 9 de junio de este año, de Felipe IV a la condesa de Paredes de Nava, doña Luisa Enríquez Manrique de Lara, que había ingresado este año en el Convento de San José de Malagón, el Rey escribía: ""Os hecho mucho de menos para los autos [del Corpus de este año], que me dicen que vuestro amigo Juan Rana hace famoso papel, y se me acuerda de lo que os hacía reír"" ; en otra carta de Felipe IV a doña Luisa Enríquez Manrique, fechada el 7 de julio, el Rey, refiriéndose a Diego de Martos, que fue con recados de palacio al convento en donde estaba doña Luisa, escribe: ""A su vuelta [de Diego de Martos] os daría nuebas de Juan Rana pues se rió harto con él, y justamente porque estubo del buen humor que vos sabéis, y Bernardilla [¿Bernarda Ramírez?] no lo descuida […] Aora hacen los autos en el corral y acude mucha gente a ellos con la buena gana que tienen de visitar aquella santa cassa"" .<br><br"
Mariana de Austria,hacer,su entrada,"En una carta escrita desde San Lorenzo de El Escorial el 18 de octubre de este año a doña Luisa Enríquez Manrique de Lara, Felipe IV escribía: ""tenemos por güesped a Juan Rana, que siempre está de tan umor como le dejastes"" ; el 15 de noviembre, día en que Mariana de Austria hacía su entrada en Madrid como nueva reina, Cosme Pérez, por mediación de su personaje, le hizo llegar un memorial titulado ***Memorial que dio Juan Rana a la Reina Nuestra Señora Doña Mariana de Austria en su entrada en esta corte antes de llegar a Palacio***, en el que solicitaba la concesión de algún oficio palaciego a su hija para, de esta manera, paliar su difícil situación económica y aumentar sus posibilidades de contraer matrimonio .<br><br"
Mariana de Austria,hacer,como nueva reina,"En una carta escrita desde San Lorenzo de El Escorial el 18 de octubre de este año a doña Luisa Enríquez Manrique de Lara, Felipe IV escribía: ""tenemos por güesped a Juan Rana, que siempre está de tan umor como le dejastes"" ; el 15 de noviembre, día en que Mariana de Austria hacía su entrada en Madrid como nueva reina, Cosme Pérez, por mediación de su personaje, le hizo llegar un memorial titulado ***Memorial que dio Juan Rana a la Reina Nuestra Señora Doña Mariana de Austria en su entrada en esta corte antes de llegar a Palacio***, en el que solicitaba la concesión de algún oficio palaciego a su hija para, de esta manera, paliar su difícil situación económica y aumentar sus posibilidades de contraer matrimonio .<br><br"
Mariana de Austria,hacer,mediación,"En una carta escrita desde San Lorenzo de El Escorial el 18 de octubre de este año a doña Luisa Enríquez Manrique de Lara, Felipe IV escribía: ""tenemos por güesped a Juan Rana, que siempre está de tan umor como le dejastes"" ; el 15 de noviembre, día en que Mariana de Austria hacía su entrada en Madrid como nueva reina, Cosme Pérez, por mediación de su personaje, le hizo llegar un memorial titulado ***Memorial que dio Juan Rana a la Reina Nuestra Señora Doña Mariana de Austria en su entrada en esta corte antes de llegar a Palacio***, en el que solicitaba la concesión de algún oficio palaciego a su hija para, de esta manera, paliar su difícil situación económica y aumentar sus posibilidades de contraer matrimonio .<br><br"
