Head,Relation,Tail,Context
Pellicer,recoger,el testimonio Juan,"Por otro lado, siguiendo con las anécdotas que se le atribuían a 'Juan Rana', Pellicer y después Cotarelo recogen el testimonio de Juan Caramuel, en la obra Primus calamus de Juan Caramuel, de donde traducen la siguiente anécdota, referida a 'Juan Rana': En Madrid, el Salón del Palacio, llamado el Bello (o Buen) Retiro, donde se representan las comedias, tiene alrededor algunas ventanas o balcones, que corresponden a los aposentos donde se sientan los Grandes cuando se representan las comedias."
Pellicer,recoger,la obra Juan,"Por otro lado, siguiendo con las anécdotas que se le atribuían a 'Juan Rana', Pellicer y después Cotarelo recogen el testimonio de Juan Caramuel, en la obra Primus calamus de Juan Caramuel, de donde traducen la siguiente anécdota, referida a 'Juan Rana': En Madrid, el Salón del Palacio, llamado el Bello (o Buen) Retiro, donde se representan las comedias, tiene alrededor algunas ventanas o balcones, que corresponden a los aposentos donde se sientan los Grandes cuando se representan las comedias."
Juan Rana,introducir,cierto entremés,"En cierto entremés, en que Juan Rana, el gracioso más festivo que conoció España, haciendo el papel de Alcayde de aquel Palacio, introdujo dos forasteros, a quienes Juan Rana mostró todo lo que había digno de verse en él; y cuando Juan Rana llegó a mostrarles el teatro colgado, como se ha dicho, de preciosas pinturas entre las ventanas o balcones, les dijo: -Este es el Salón donde se canta y representan las Comedias."
Juan Rana,introducir,dos forasteros mostró,"En cierto entremés, en que Juan Rana, el gracioso más festivo que conoció España, haciendo el papel de Alcayde de aquel Palacio, introdujo dos forasteros, a quienes Juan Rana mostró todo lo que había digno de verse en él; y cuando Juan Rana llegó a mostrarles el teatro colgado, como se ha dicho, de preciosas pinturas entre las ventanas o balcones, les dijo: -Este es el Salón donde se canta y representan las Comedias."
Rey,sentar,Infantes,El Rey y la Reina se sientan allí; aquí los Infantes; los Grandes se sientan en aquella parte.
Grandes,sentar en,aquella parte,El Rey y la Reina se sientan allí; aquí los Infantes; los Grandes se sientan en aquella parte.
Españolas,untar,las caras,"Esto dixo Juan Rana porque las Españolas se untan las caras, y se las pintan con varios ingredientes y menjurges; y así con razón aseguró Juan Rana que aquellas dos Señoras Grandes eran dos propísimas pinturas""."
Juan Rana,asegurar,razón,"Esto dixo Juan Rana porque las Españolas se untan las caras, y se las pintan con varios ingredientes y menjurges; y así con razón aseguró Juan Rana que aquellas dos Señoras Grandes eran dos propísimas pinturas""."
Cosme Pérez,pasar,el tribunal alcalde,"Sin embargo, como observa H. Bergman, las obras breves testimonian también la actuación por parte de Cosme Pérez en otros papeles, por ejemplo el de médico, así en El doctor Juan Rana: ""Tan ligero soy de cholla, / señores, que Cosme Pérez se ha pasado / desde el tribunal de alcalde / al de médico, de un salto""."
Cosme Pérez,participar,cuya representación,En algunos entremeses de Quiñones de Benavente —véase más abajo para el listado completo de aquellos en cuya representación participó Cosme Pérez—
Bergman,notar,una posible alusión escanda,Bergman nota una posible alusión al escándalo del que Cosme Pérez fue protagonista en 1636 cuando Cosme Pérez fue acusado de pecado nefando: véase el año correspondiente.
F. Sáez Raposo,desligar,la génesis nombre,"Sin embargo, F. Sáez Raposo desliga la génesis tanto del nombre como del apellido del personaje Juan Rana de un factor concreto y singular, y la establece a partir de componentes diversos: de carácter folclórico, relacionados con las características físicas del actor e incluso relativos al posible timbre de voz que el actor pudo tener."
Juan Rana,salir a,una fiesta Retiro,"Según relata la Genealogía, ""Juan Rana estuvo retirado mucho tiempo por su edad y después de algunos años mandaron los Reyes que Juan Rana saliera a una fiesta del Retiro el año [dejado en blanco] y le sacaron en un carro""."
Juan Rana,salir a,el año dejado,"Según relata la Genealogía, ""Juan Rana estuvo retirado mucho tiempo por su edad y después de algunos años mandaron los Reyes que Juan Rana saliera a una fiesta del Retiro el año [dejado en blanco] y le sacaron en un carro""."
Varey,relacionar,su edición Genealogía,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme salió en un carro para actuar en el entremés de El triunfo de Juan Rana, en el que Juan Rana actuó."
Varey,relacionar,el estreno obra,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme salió en un carro para actuar en el entremés de El triunfo de Juan Rana, en el que Juan Rana actuó."
Varey,relacionar,este episodio,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme salió en un carro para actuar en el entremés de El triunfo de Juan Rana, en el que Juan Rana actuó."
Cosme,salir en,un carro,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme salió en un carro para actuar en el entremés de El triunfo de Juan Rana, en el que Juan Rana actuó."
Varey,recoger,el juicio Cotarelo,"Varey y Shergold recogen el juicio de Cotarelo y Mori, quien supuso primero que la obra Fieras afemina amor fue estrenada en 1668, aunque en otro lugar afirmó que la obra Fieras afemina amor fue estrenada con motivo de la celebración del cumpleaños de la reina madre, Mariana de Austria, que era el 22 de diciembre de 1669 pero que se aplazó hasta enero de 1670."
M. L. Lobato,provocar,violentas reacciones,"Como evoca, por su parte, M. L. Lobato, el lujo de esta fiesta provocó violentas reacciones, entre las que se incluyeron pasquines como el titulado A la fiesta que hizo en el Príncipe de Astillano en el Retiro a los Reyes el 29 de enero de 1672, donde se aconsejaba al Rey elegir mejor a su privado y donde se citaba también al personaje teatral 'Juan Rana': ""La milicia castellana, / para vencer en la lid, / solía sacar al Zid, / y ahora sale Juan Rana, / que después de sepultado / a las cosas de honor, / como al buen Cid Campeador / le tienen empapelado""."
Juan Rana,participar en,la representación comedia,"Según F. Sáez Raposo, la primera aparición escénica del personaje ""Juan Rana"" habría tenido lugar hacia 1624, cuando Juan Rana participó en la representación de la comedia de Lope de Vega Lo que ha de ser."
Juan Rana,participar,la representación comedia,"El mismo investigador señala el lustro comprendido entre 1625 y 1630 como fecha en la que Juan Rana participaría también en la representación de la comedia de Juan Pérez de Montalbán titulada El segundo Séneca de España, don Felipe II, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama."
Cosme Pérez,tener,un papel relevancia,"El mismo investigador señala el lustro comprendido entre 1625 y 1630 como fecha en la que Juan Rana participaría también en la representación de la comedia de Juan Pérez de Montalbán titulada El segundo Séneca de España, don Felipe II, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama."
Cosme Pérez,aprender,su papel gracioso Tomás,"Dicho investigador sugirió que Cosme Pérez quizá aprendió su papel de gracioso de Tomás Fernández de Cabredo, el autor con el que Cosme Pérez trabajó años más tarde y que era especialista en el mismo—."
Cosme Pérez,trabajar,años,"Dicho investigador sugirió que Cosme Pérez quizá aprendió su papel de gracioso de Tomás Fernández de Cabredo, el autor con el que Cosme Pérez trabajó años más tarde y que era especialista en el mismo—."
Cosme Pérez,figurar,el papel Espinel,"El manuscrito incluye un reparto de actores en el que figura ""Cosme Pérez"", probablemente Cosme Pérez, en el papel de ""Espinel""."
Varey,poner en,Años,"Años más tarde, Varey y Shergold, al dar cuenta de este manuscrito, pusieron en duda también que Antonio de Escamilla fuese el autor de la formación a la que corresponde este reparto, aunque sin mencionar la atribución a Roque de Figueroa hecha por Cotarelo."
Varey,poner en,duda,"Años más tarde, Varey y Shergold, al dar cuenta de este manuscrito, pusieron en duda también que Antonio de Escamilla fuese el autor de la formación a la que corresponde este reparto, aunque sin mencionar la atribución a Roque de Figueroa hecha por Cotarelo."
Luis Quiñones de Benavente,escribir,su parte,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos Cosme Pérez aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Luis Quiñones de Benavente,escribir,varias piezas Cosme,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos Cosme Pérez aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Cosme Pérez,aparecer,el nombre Cosme,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos Cosme Pérez aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Cosme Pérez,aparecer,cuyos repartos,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos Cosme Pérez aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Sánchez Arjona,suponer,1635,"El reparto del entremés El doctor Juan Rana, en cuyo reparto figura como ""Juan Rana"", personaje representado, según la hipótesis de Bergman, por Tomás Fernández y no por Pedro de la Rosa —como habían supuesto Sánchez Arjona y Rennert—, probablemente en 1635."
Cotarelo,recordar,este entremés,"En relación con este entremés, Cotarelo recuerda que uno de los temas de concurso de la academia burlesca celebrada en el Buen Retiro durante las fiestas de Carnaval de 1637 fue ""doce redondillas digan la razón por qué las beatas no tienen unto, y si basta la opinión del personaje Juan Rana para que se crea""."
Cosme Pérez—,trabajar,cuya compañía,"4) El entremés El mago, en cuyo reparto figura como ""Cosme [Pérez]"", representado por Pedro de la Rosa —en cuya compañía trabajaba entonces probablemente Cosme Pérez— y Tomás Fernández, según Bergman probablemente en 1637."
Quiñones Pipote,escribir,1634,"El entremés atribuido a Quiñones Pipote en nombre de Juan Rana, en cuyo reparto figura como ""Cosme Pérez"", que Quiñones Pipote escribió, según Bergman, probablemente entre 1634 y 1640."
Quiñones Pipote,escribir,Bergman,"El entremés atribuido a Quiñones Pipote en nombre de Juan Rana, en cuyo reparto figura como ""Cosme Pérez"", que Quiñones Pipote escribió, según Bergman, probablemente entre 1634 y 1640."
Antonio de Solís,componer,otro lado,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Juan Rana,representar,M. L. Lobato,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Juan Rana,representar,motivo fiesta,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Juan Rana,representar,1655,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Juan Rana,representar,Juan Rana,"Junto con Juan Rana, Juan Rana representó el entremés, según la misma investigadora, los siguientes actores: Bernarda Manuela, 'la Coronela' [Ana Coronel], 'la Borja' [Mariana de Borja] y Mateo Godoy."
Juan Rana,representar,el entremés,"Junto con Juan Rana, Juan Rana representó el entremés, según la misma investigadora, los siguientes actores: Bernarda Manuela, 'la Coronela' [Ana Coronel], 'la Borja' [Mariana de Borja] y Mateo Godoy."
Juan Rana,representar,la investigadora,"Junto con Juan Rana, Juan Rana representó el entremés, según la misma investigadora, los siguientes actores: Bernarda Manuela, 'la Coronela' [Ana Coronel], 'la Borja' [Mariana de Borja] y Mateo Godoy."
Juan Rana,representar,los siguientes actores,"Junto con Juan Rana, Juan Rana representó el entremés, según la misma investigadora, los siguientes actores: Bernarda Manuela, 'la Coronela' [Ana Coronel], 'la Borja' [Mariana de Borja] y Mateo Godoy."
Antonio de Solís,contar,Juan Rana,"Según apunta M. L. Lobato, Antonio de Solís contó también con Juan Rana para el entremés titulado La Zarzuela, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad el rey"" en un día de mucho frío, según se indica en el primer verso del entremés."
Antonio de Solís,contar,el entremés titulado,"Según apunta M. L. Lobato, Antonio de Solís contó también con Juan Rana para el entremés titulado La Zarzuela, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad el rey"" en un día de mucho frío, según se indica en el primer verso del entremés."
Solís,escribir para,el entremés,"Según recuerda M. L. Lobato, Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Solís,escribir para,el actor,"Según recuerda M. L. Lobato, Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Calderón,hacer,años,"Según recuerda M. L. Lobato, Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Calderón,hacer,el título,"Según recuerda M. L. Lobato, Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Bernarda Ramírez,actuar,el entremés,En el entremés también actuó Bernarda Ramírez.
Juan Rana,intervenir en,la representación piezas,"Además, Juan Rana intervino en la representación de otras piezas de teatro breve de Solís, como el sainete Las fiestas bacanales: véase más abajo el año 1655."
Juan Rana,intervenir en,la representación entremés,"Asimismo, Juan Rana intervino en la representación del entremés Salta en banco, del entremés El niño caballero y del sainete Aguardad, supremos dioses, que se representaron junto a la comedia Triunfos de Amor y Fortuna, todos ellos obra del mismo Solís: véase más abajo el año 1658."
Juan Rana,actuar en,el entremés representado,"Según indica M. L. Lobato, Juan Rana también actuó en el entremés El ayo de Agustín Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá, como propone la citada investigadora M. L. Lobato, en el año 1662, en el que actuaron también Mateo de Godoy y Jerónimo Morales."
Juan Rana,proponer imitar,la falta Sebastián,"En el entremés La loa de Juan Rana, escrito también por Moreto, intervino como actor Cosme Pérez, y en un parlamento entre Miguel de Orozco y Juan Rana se alude a la reciente viudez de Sebastián de Prado y a su encarcelamiento, que impedía la participación de Sebastián de Prado en los festejos de Palacio, motivo por el cual Juan Rana, ante la falta de Sebastián de Prado y otros actores, proponía imitar a diversos actores de su tiempo como Antonio de Escamilla, Alonso de Olmedo, Mateo de Godoy, María de Quiñones, María de Prado y Manuela Escamilla."
Cotarelo,ofrecer,las piezas breves mencionadas,"Aparte de las piezas breves mencionadas a lo largo de la presente entrada, Cotarelo ofreció un primer corpus de los entremeses que diferentes poetas escribieron para Sebastián de Prado o su personaje, corpus que ha sido actualizado y completado modernamente por Sáez Raposo, quien repasa también algunos problemas de atribución de estas obras."
Cotarelo,ofrecer,un primer corpus entremeses,"Aparte de las piezas breves mencionadas a lo largo de la presente entrada, Cotarelo ofreció un primer corpus de los entremeses que diferentes poetas escribieron para Sebastián de Prado o su personaje, corpus que ha sido actualizado y completado modernamente por Sáez Raposo, quien repasa también algunos problemas de atribución de estas obras."
Cosme Pérez,formar parte,este año compañía,"Según Cotarelo, a quien sigue Sáez Raposo, Cosme Pérez formaba parte este año de la compañía de Juan Bautista Valenciano."
Cosme Pérez,formar parte,Cotarelo,"Según Cotarelo, a quien sigue Sáez Raposo, Cosme Pérez formaba parte este año de la compañía de Juan Bautista Valenciano."
Cosme Pérez,figurar,cuyos miembros,Entre cuyos miembros figura Cosme Pérez como bailarín y representante de la compañía de Juan Bautista Valenciano para representar el Corpus de este año en Sevilla.
Cosme Pérez,aparecer en,la nómina compañía,"Cosme Pérez aparece en la nómina de la compañía de Antonio de Prado incluida en un concierto, fechado en Madrid el 18 de marzo, entre Antonio de Prado y la Villa de Madrid sobre la representación de dos autos para la fiesta del Corpus."
Cosme Pérez,pertenecer a,Cotarelo,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien envió a Cosme Pérez este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía."
Cosme Pérez,pertenecer a,la compañía Tomás,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien envió a Cosme Pérez este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía."
Cosme Pérez,asistir,Genealogía,"El primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la Genealogía, fue el cabildo celebrado el 25 de junio."
Cosme Pérez,volver,Cotarelo,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,volver,este año,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,entregar,la compañía Tomás,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,entregar,este caso,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,entregar,la limosna,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Pedro,bautizar en,iglesia de Nuestra Señora de San Lorenzo,"Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
Pedro,bautizar en,un documento fechado,"Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
Cotarelo,inferir,las anotaciones realizadas,"En el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena se hacía constar el gasto por el entierro de María de Acosta, la mujer de Cosme Pérez —aunque, según infiere Cotarelo de las anotaciones realizadas en el citado libro, María de Acosta debió de morir hacia 1632—."
María de Acosta,morir hacia,1632,"En el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena se hacía constar el gasto por el entierro de María de Acosta, la mujer de Cosme Pérez —aunque, según infiere Cotarelo de las anotaciones realizadas en el citado libro, María de Acosta debió de morir hacia 1632—."
Cosme Pérez,recibir,cada representación,"Consta un concierto, fechado en Madrid el 16 de febrero, del actor Cosme Pérez para representar ""la parte principal de la graciosidad"" en la compañía de Pedro de la Rosa, por lo que Cosme Pérez recibiría 10 rs. de ración, 20 rs. por cada representación, 50 dcs."
Cosme Pérez,recibir,10 rs ración,"Consta un concierto, fechado en Madrid el 16 de febrero, del actor Cosme Pérez para representar ""la parte principal de la graciosidad"" en la compañía de Pedro de la Rosa, por lo que Cosme Pérez recibiría 10 rs. de ración, 20 rs. por cada representación, 50 dcs."
Juan Rana,liberar,esos días,"Según consta en una carta que refiere sucesos del 22 al 29 de noviembre, en esos días Juan Rana, que había sido detenido acusado de ""pecado nefando"", Juan Rana fue liberado."
Valdés,acusar a,Agustín Merlo,"El escándalo empezó hacia el 18 de octubre con la detención de un tal Agustín Merlo por mantener una reyerta con el hijo de un músico de la capilla real llamado Valdés, y Valdés acusó a Agustín Merlo de haberle requerido sexualmente."
Agustín Merlo,acusar a,muchos entremeses Luis,"Sometido a tormento, Agustín Merlo acusó a otros —en muchos entremeses de Luis Quiñones de Benavente se hace referencia a este escándalo: véase lo dicho en la introducción de la entrada—."
Rosa,acudir a,Valencia,"Para que Rosa, estante en Madrid, acudiera a Valencia con toda su compañía, teniendo que traer sobre todo a Francisco de Velasco y a Cosme Pérez, apodado 'Rana', hacia el día 10 de julio, para que Rosa efectuara cincuenta representaciones seguidas."
Rosa,acudir a,su compañía,"Para que Rosa, estante en Madrid, acudiera a Valencia con toda su compañía, teniendo que traer sobre todo a Francisco de Velasco y a Cosme Pérez, apodado 'Rana', hacia el día 10 de julio, para que Rosa efectuara cincuenta representaciones seguidas."
Rosa,efectuar,cincuenta representaciones seguidas,"Para que Rosa, estante en Madrid, acudiera a Valencia con toda su compañía, teniendo que traer sobre todo a Francisco de Velasco y a Cosme Pérez, apodado 'Rana', hacia el día 10 de julio, para que Rosa efectuara cincuenta representaciones seguidas."
Pedro de la Rosa,acudir a,Valencia,"Consta una escritura, fechada en Valencia el 10 de marzo, por la que el clavario del Hospital General de Valencia concertó con el autor Pedro de la Rosa que Pedro de la Rosa acudiría a Valencia con toda la compañía de Pedro de la Rosa, que se hallaba en Zaragoza."
Pedro de la Rosa,acudir a,toda la compañía Pedro,"Consta una escritura, fechada en Valencia el 10 de marzo, por la que el clavario del Hospital General de Valencia concertó con el autor Pedro de la Rosa que Pedro de la Rosa acudiría a Valencia con toda la compañía de Pedro de la Rosa, que se hallaba en Zaragoza."
Juan Rana,formar,parte compañía,Juan Rana formó parte de la compañía de Pedro de la Rosa que representó en el Corpus de Sevilla.
