Head,Relation,Tail,Context
Cosme Pérez,gozar de,la fuente,"Según la misma fuente, Cosme Pérez gozó de la confianza del Rey y por ello pudo intervenir ante el Rey en favor de su sobrina Bárbara Coronel, encarcelada en Guadalajara y condenada a muerte por haber tramado con un apuntador el asesinato de su marido —sin embargo, sólo la Genealogía, a la que sigue Aguilar Priego, recoge este parentesco de Cosme Pérez con Bárbara Coronel—."
Cosme Pérez,estar en,una ocasión,"Cosme Pérez estaba en una ocasión con Pedro de la Rosa y para nombrar a Pedro de la Rosa repetía muchas veces: aquel que huele""."
Cosme Pérez,estar en,Pedro de la Rosa,"Cosme Pérez estaba en una ocasión con Pedro de la Rosa y para nombrar a Pedro de la Rosa repetía muchas veces: aquel que huele""."
M. L. Lobato,recoger,el testimonio entremés,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque 'Juan Rana' había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
Juan Rana,perder,la memoria,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque 'Juan Rana' había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
Cosme Pérez,solicitar a,una ayuda concedida,"La misma fuente refiere que en otra ocasión un poeta escribió un entremés en que aludía a la propiedad de Cosme Pérez de unas casas en la calle de Cantarranas, junto a una pastelería, y Cosme Pérez le pidió al poeta que omitiera esa alusión, pues Cosme Pérez había solicitado al rey una ayuda que no le sería concedida si se supiera que tenía casas en propiedad."
Pellicer,recoger,su obra,"Por otro lado, siguiendo con las anécdotas que se le atribuían a 'Juan Rana', Pellicer y después Cotarelo recogen el testimonio de Juan Caramuel, en su obra Primus calamus, de donde traducen la siguiente anécdota, referida a 'Juan Rana': En Madrid, el Salón del Palacio, llamado el Bello (o Buen) Retiro, donde se representan las comedias, tiene alrededor algunas ventanas o balcones, que corresponden a los aposentos donde se sientan los Grandes cuando se representan las comedias."
Pellicer,recoger,el testimonio Juan,"Por otro lado, siguiendo con las anécdotas que se le atribuían a 'Juan Rana', Pellicer y después Cotarelo recogen el testimonio de Juan Caramuel, en su obra Primus calamus, de donde traducen la siguiente anécdota, referida a 'Juan Rana': En Madrid, el Salón del Palacio, llamado el Bello (o Buen) Retiro, donde se representan las comedias, tiene alrededor algunas ventanas o balcones, que corresponden a los aposentos donde se sientan los Grandes cuando se representan las comedias."
Pellicer,recoger,otro lado,"Por otro lado, siguiendo con las anécdotas que se le atribuían a 'Juan Rana', Pellicer y después Cotarelo recogen el testimonio de Juan Caramuel, en su obra Primus calamus, de donde traducen la siguiente anécdota, referida a 'Juan Rana': En Madrid, el Salón del Palacio, llamado el Bello (o Buen) Retiro, donde se representan las comedias, tiene alrededor algunas ventanas o balcones, que corresponden a los aposentos donde se sientan los Grandes cuando se representan las comedias."
Juan Rana,introducir,dos forasteros mostró,"En cierto entremés, en que Juan Rana el gracioso más festivo que conoció España, haciendo el papel de Alcayde de aquel Palacio, introdujo dos forasteros, a quienes mostró todo lo que había digno de verse en él; y cuando Juan Rana llegó a mostrarles el teatro colgado, como se ha dicho, de preciosas pinturas entre las ventanas o balcones, Juan Rana les dijo: -Este es el Salón donde se canta y representan las Comedias."
Juan Rana,introducir,cierto entremés,"En cierto entremés, en que Juan Rana el gracioso más festivo que conoció España, haciendo el papel de Alcayde de aquel Palacio, introdujo dos forasteros, a quienes mostró todo lo que había digno de verse en él; y cuando Juan Rana llegó a mostrarles el teatro colgado, como se ha dicho, de preciosas pinturas entre las ventanas o balcones, Juan Rana les dijo: -Este es el Salón donde se canta y representan las Comedias."
Rey,sentar allí,Infantes,El Rey y la Reina se sientan allí; aquí los Infantes; los Grandes se sientan en aquella parte.
Grandes,sentar en,aquella parte,El Rey y la Reina se sientan allí; aquí los Infantes; los Grandes se sientan en aquella parte.
Españolas,untar,las caras,"Esto dixo Juan Rana porque las Españolas se untan las caras, y se las pintan con varios ingredientes y menjurges; y así con razón aseguró Juan Rana que aquellas dos Señoras Grandes eran dos propísimas pinturas""."
Juan Rana,asegurar,razón,"Esto dixo Juan Rana porque las Españolas se untan las caras, y se las pintan con varios ingredientes y menjurges; y así con razón aseguró Juan Rana que aquellas dos Señoras Grandes eran dos propísimas pinturas""."
Cosme Pérez,participar,cuya representación,En algunos entremeses de Quiñones de Benavente —véase más abajo para el listado completo de aquellos en cuya representación participó Cosme Pérez—
Bergman,notar,una posible alusión escanda,Bergman nota una posible alusión al escándalo del que Cosme Pérez fue protagonista en 1636 cuando Cosme Pérez fue acusado de pecado nefando: véase el año correspondiente.
F. Sáez Raposo,desligar,la génesis nombre,"Sin embargo, F. Sáez Raposo desliga la génesis tanto del nombre como del apellido del personaje de un factor concreto y singular, y la establece a partir de componentes diversos: de carácter folclórico, relacionados con las características físicas del actor Cosme Pérez e incluso relativos al posible timbre de voz que Cosme Pérez pudo tener."
Cosme Pérez,salir a,el año dejado,"Según relata la Genealogía, ""Cosme Pérez estuvo retirado mucho tiempo por su edad y después de algunos años mandaron los Reies que Cosme Pérez saliera a una fiesta del Retiro el año [dejado en blanco] y sacaron a Cosme Pérez en un carro""."
Cosme Pérez,salir a,una fiesta Retiro,"Según relata la Genealogía, ""Cosme Pérez estuvo retirado mucho tiempo por su edad y después de algunos años mandaron los Reies que Cosme Pérez saliera a una fiesta del Retiro el año [dejado en blanco] y sacaron a Cosme Pérez en un carro""."
Varey,relacionar,su edición Genealogía,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme Pérez salió en un carro para actuar en el entremés de El triunfo de Juan Rana."
Varey,relacionar,este episodio,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme Pérez salió en un carro para actuar en el entremés de El triunfo de Juan Rana."
Varey,relacionar,el estreno obra,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme Pérez salió en un carro para actuar en el entremés de El triunfo de Juan Rana."
Cosme Pérez,salir en,un carro,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme Pérez salió en un carro para actuar en el entremés de El triunfo de Juan Rana."
Varey,recoger,el juicio Cotarelo,"Varey y Shergold recogen el juicio de Cotarelo y Mori, quien supuso primero que la obra Fieras afemina amor fue estrenada en 1668, aunque en otro lugar afirmó que la obra Fieras afemina amor fue estrenada con motivo de la celebración del cumpleaños de la reina madre, Mariana de Austria, que era el 22 de diciembre de 1669 pero que se aplazó hasta enero de 1670."
M. L. Lobato,provocar,violentas reacciones,"Como evoca, por su parte, M. L. Lobato, el lujo de esta fiesta provocó violentas reacciones, entre las que se incluyeron pasquines como el titulado A la fiesta que hizo en el Retiro a los Reyes el Príncipe de Astillano en 29 de enero de 1672, donde se aconsejaba al Rey elegir mejor a su privado y donde se citaba también al personaje ""Juan Rana"": ""La milicia castellana, / para vencer en la lid, / solía sacar al Zid, / y ahora sale Juan Rana, / que después de sepultado / a las cosas de honor, / como al buen Cid Campeador / le tienen empapelado""."
Príncipe de Astillano,hacer en,Retiro,"Como evoca, por su parte, M. L. Lobato, el lujo de esta fiesta provocó violentas reacciones, entre las que se incluyeron pasquines como el titulado A la fiesta que hizo en el Retiro a los Reyes el Príncipe de Astillano en 29 de enero de 1672, donde se aconsejaba al Rey elegir mejor a su privado y donde se citaba también al personaje ""Juan Rana"": ""La milicia castellana, / para vencer en la lid, / solía sacar al Zid, / y ahora sale Juan Rana, / que después de sepultado / a las cosas de honor, / como al buen Cid Campeador / le tienen empapelado""."
Príncipe de Astillano,hacer en,29 enero,"Como evoca, por su parte, M. L. Lobato, el lujo de esta fiesta provocó violentas reacciones, entre las que se incluyeron pasquines como el titulado A la fiesta que hizo en el Retiro a los Reyes el Príncipe de Astillano en 29 de enero de 1672, donde se aconsejaba al Rey elegir mejor a su privado y donde se citaba también al personaje ""Juan Rana"": ""La milicia castellana, / para vencer en la lid, / solía sacar al Zid, / y ahora sale Juan Rana, / que después de sepultado / a las cosas de honor, / como al buen Cid Campeador / le tienen empapelado""."
Juan Rana,participar en,la representación comedia,"Según F. Sáez Raposo, la primera aparición escénica del personaje ""Juan Rana"" habría tenido lugar hacia 1624, cuando Juan Rana participó en la representación de la comedia de Lope de Vega Lo que ha de ser."
Cosme Pérez,participar también,la representación comedia,"El mismo investigador señala el lustro comprendido entre 1625 y 1630 como fecha en la que Cosme Pérez participaría también en la representación de la comedia de Juan Pérez de Montalbán titulada El segundo Séneca de España, don Felipe II, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama."
Cosme Pérez,tener,un papel relevancia,"El mismo investigador señala el lustro comprendido entre 1625 y 1630 como fecha en la que Cosme Pérez participaría también en la representación de la comedia de Juan Pérez de Montalbán titulada El segundo Séneca de España, don Felipe II, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama."
Sáez Raposo,deducir,las palabras pronunciadas,"A partir de las palabras pronunciadas por el personaje de ""Bartola, sobrina de Rana"" en el momento en que le anuncia y presenta en escena, Sáez Raposo deduce que el actor Cosme Pérez ya era bien conocido por el público, lo que no podría deberse sólo al pequeño papel interpretado por Cosme Pérez en la citada comedia de Lope: ""Dentro Juan Rana."
Cosme Pérez,aprender,su papel gracioso Tomás,"Dicho investigador sugirió que quizá Cosme Pérez aprendió su papel de gracioso de Tomás Fernández de Cabredo, el autor con el que Cosme Pérez trabajó años más tarde y que era especialista en el mismo—."
Cosme Pérez,trabajar,años,"Dicho investigador sugirió que quizá Cosme Pérez aprendió su papel de gracioso de Tomás Fernández de Cabredo, el autor con el que Cosme Pérez trabajó años más tarde y que era especialista en el mismo—."
Cosme Pérez,figurar,el papel Espinel,"El manuscrito incluye un reparto de actores en el que figura ""Cosme Pérez"", probablemente Cosme Pérez, en el papel de ""Espinel""."
Varey,poner en,Años,"Años más tarde, Varey y Shergold, al dar cuenta de este manuscrito, pusieron en duda también que Antonio de Escamilla fuese el autor de la formación a la que corresponde este reparto, aunque sin mencionar la atribución a Roque de Figueroa hecha por Cotarelo."
Varey,poner en,duda,"Años más tarde, Varey y Shergold, al dar cuenta de este manuscrito, pusieron en duda también que Antonio de Escamilla fuese el autor de la formación a la que corresponde este reparto, aunque sin mencionar la atribución a Roque de Figueroa hecha por Cotarelo."
Luis Quiñones de Benavente,escribir,su parte,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Luis Quiñones de Benavente,escribir,varias piezas Cosme,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Sánchez Arjona,suponer,1635,"El reparto del entremés El doctor Juan Rana, en cuyo reparto figura como ""Juan Rana"", representado, según la hipótesis de Bergman, por Tomás Fernández y no por Pedro de la Rosa —como habían supuesto Sánchez Arjona y Rennert—, probablemente en 1635."
Cotarelo,recordar,este entremés,"En relación con este entremés, Cotarelo recuerda que uno de los temas de concurso de la academia burlesca celebrada en el Buen Retiro durante las fiestas de Carnaval de 1637 fue ""doce redondillas digan la razón por qué las beatas no tienen unto, y si basta la opinión del entremés El doctor Juan Rana para que se crea""."
Cosme Pérez—,trabajar entonces,cuya compañía,"4) El entremés El mago, en cuyo reparto figura como ""Cosme [Pérez]"", representado por Pedro de la Rosa —en cuya compañía trabajaba entonces probablemente Cosme Pérez— y Tomás Fernández, según Bergman probablemente en 1637."
Quiñones Pipote,escribir,1634,"El entremés atribuido a Quiñones Pipote en nombre de Juan Rana, en cuyo reparto figura como ""Cosme Pérez"", que Quiñones Pipote escribió, según Bergman, probablemente entre 1634 y 1640."
Quiñones Pipote,escribir,Bergman,"El entremés atribuido a Quiñones Pipote en nombre de Juan Rana, en cuyo reparto figura como ""Cosme Pérez"", que Quiñones Pipote escribió, según Bergman, probablemente entre 1634 y 1640."
Antonio de Solís,componer también,otro lado,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Juan Rana,representar,M. L. Lobato,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Juan Rana,representar,motivo fiesta,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Juan Rana,representar,1655,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Antonio de Solís,contar también,el entremés titulado hizo,"Según apunta M. L. Lobato, Antonio de Solís contó también con el actor Juan Rana para el entremés titulado La Zarzuela, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad"" en un día de mucho frío, según se indica en el primer verso del entremés."
Antonio de Solís,contar también,el actor,"Según apunta M. L. Lobato, Antonio de Solís contó también con el actor Juan Rana para el entremés titulado La Zarzuela, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad"" en un día de mucho frío, según se indica en el primer verso del entremés."
Antonio de Solís,escribir para,el entremés,"Según recuerda M. L. Lobato, Antonio de Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Antonio de Solís,escribir para,el actor,"Según recuerda M. L. Lobato, Antonio de Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Calderón,hacer,años,"Según recuerda M. L. Lobato, Antonio de Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Calderón,hacer,el título,"Según recuerda M. L. Lobato, Antonio de Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Bernarda Ramírez,actuar también,la obra Antonio,En la obra de Antonio de Solís actuó también Bernarda Ramírez.
Juan Rana,intervenir en,la representación piezas,"Además, Juan Rana intervino en la representación de otras piezas de teatro breve de Antonio de Solís, como el sainete Las fiestas bacanales: véase más abajo el año 1655."
Cosme Pérez,intervenir en,la representación entremés,"Asimismo, Cosme Pérez intervino en la representación del entremés Salta en banco, del entremés El niño caballero y del sainete Aguardad, supremos dioses, que se representaron junto a la comedia Triunfos de Amor y Fortuna, todos ellos obra del mismo Antonio de Solís: véase más abajo el año 1658."
Juan Rana,actuar en,el entremés representado,"Según indica M. L. Lobato, Juan Rana también actuó en el entremés El ayo de Agustín Moreto, representado con motivo del cumpleaños del rey Felipe IV, quizá, como propone la citada investigadora, en el año 1662, en el que actuaron también Mateo de Godoy y Jerónimo Morales."
Juan Rana,proponer imitar,la falta Sebastián,"En el entremés La loa de Juan Rana, escrito también por Moreto, intervino como actor Cosme Pérez, y en un parlamento entre Miguel de Orozco y Juan Rana se alude a la reciente viudez de Sebastián de Prado y a su encarcelamiento, que impedía la participación de Sebastián de Prado en los festejos de Palacio, motivo por el cual Juan Rana, ante la falta de Sebastián de Prado y otros actores, proponía imitar a diversos actores de su tiempo como Antonio de Escamilla, Alonso de Olmedo, Mateo de Godoy, María de Quiñones, María de Prado y Manuela Escamilla."
Cotarelo,ofrecer,un primer corpus entremeses,"Aparte de las piezas breves mencionadas a lo largo de la presente entrada, Cotarelo ofreció un primer corpus de los entremeses que diferentes poetas escribieron para el actor Constantino o su personaje, corpus que ha sido actualizado y completado modernamente por Sáez Raposo, quien repasa también algunos problemas de atribución de estas obras."
Cotarelo,ofrecer,las piezas breves mencionadas,"Aparte de las piezas breves mencionadas a lo largo de la presente entrada, Cotarelo ofreció un primer corpus de los entremeses que diferentes poetas escribieron para el actor Constantino o su personaje, corpus que ha sido actualizado y completado modernamente por Sáez Raposo, quien repasa también algunos problemas de atribución de estas obras."
Cosme Pérez,formar,parte,"Cosme Pérez formaba parte este año de la compañía de Juan Bautista Valenciano —  
Cosme Pérez fue quien organizó el evento."
Cosme Pérez,formar,este año compañía,"Cosme Pérez formaba parte este año de la compañía de Juan Bautista Valenciano —  
Cosme Pérez fue quien organizó el evento."
Cosme Pérez,figurar,cuyos miembros,Entre cuyos miembros figura Cosme Pérez como bailarín y representante.
Cosme Pérez,aparecer en,la nómina compañía,Cosme Pérez aparece en la nómina de la compañía de Antonio de Prado.
Cosme Pérez,pertenecer a,Cotarelo,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien le envió este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía; el primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la Genealogía, fue el celebrado el 25 de junio; quien envió a Cosme Pérez este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía de Nuestra Señora de la Novena; El primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la Genealogía, fue el celebrado el 25 de junio; En el archivo de la Parroquia de San Sebastián de Madrid, según Cotarelo, constaba la defunción, el 18 de septiembre, en la Calle del Niño, donde vivía, de un hijo de Cosme Pérez —probablemente de muy corta edad, según Cotarelo."
Cosme Pérez,pertenecer a,la compañía Tomás,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien le envió este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía; el primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la Genealogía, fue el celebrado el 25 de junio; quien envió a Cosme Pérez este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía de Nuestra Señora de la Novena; El primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la Genealogía, fue el celebrado el 25 de junio; En el archivo de la Parroquia de San Sebastián de Madrid, según Cotarelo, constaba la defunción, el 18 de septiembre, en la Calle del Niño, donde vivía, de un hijo de Cosme Pérez —probablemente de muy corta edad, según Cotarelo."
Cosme Pérez,volver,Cotarelo,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía; según un documento fechado en Valladolid el 9 de marzo, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández ; El Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena menciona a Cosme Pérez este año como mayordomo de la Cofradía ; Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
Cosme Pérez,volver,este año,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía; según un documento fechado en Valladolid el 9 de marzo, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández ; El Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena menciona a Cosme Pérez este año como mayordomo de la Cofradía ; Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
Cosme Pérez,entregar,la limosna,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía; según un documento fechado en Valladolid el 9 de marzo, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández ; El Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena menciona a Cosme Pérez este año como mayordomo de la Cofradía ; Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
Cosme Pérez,entregar,este caso,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía; según un documento fechado en Valladolid el 9 de marzo, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández ; El Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena menciona a Cosme Pérez este año como mayordomo de la Cofradía ; Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
Cosme Pérez,entregar,la compañía Tomás,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también lo hizo en nombre de la compañía de Tomás Fernández; el Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena lo menciona este año como mayordomo de la Cofradía; según un documento fechado en Valladolid el 9 de marzo, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández ; El Libro de la Hacienda de la Cofradía de Nuestra Señora de la Novena menciona a Cosme Pérez este año como mayordomo de la Cofradía ; Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
