Head,Relation,Tail,Context
M. L. Lobato,recoger,' los papeles,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque Juan Rana había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
M. L. Lobato,recoger,el testimonio,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque Juan Rana había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
Juan Rana,perder,la memoria,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque Juan Rana había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
María Teresa de Austria,hacer,la infantica,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque Juan Rana había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
María Teresa de Austria,hacer,Juan Rana,"Así, M. L. Lobato recoge el testimonio del entremés de Avellaneda La portería de las damas, probablemente escrito hacia 1650, en el que se deja constancia de este aprecio, haciendo referencia al hecho de que el autor Pedro de la Rosa hubiera quitado a 'Juan Rana' los papeles de representar porque Juan Rana había perdido la memoria, y la tristeza que ello supuestamente habría ocasionado en la familia real: ""Qué ha de hacer la infantica [María Teresa de Austria] / sin su Juan Rana? ¡Ay, bella chocotica! / y al rey, aunque el rey lo encubre con el guante, / ¿quién le ha de hacer reír de aquí en adelante?""."
Cosme Pérez,solicitar al,rey,"La misma fuente refiere que en otra ocasión un poeta escribió un entremés en que aludía a la propiedad de Cosme Pérez de unas casas en la calle de Cantarranas, junto a una pastelería, y Cosme Pérez le pidió al poeta que omitiera esa alusión, pues Cosme Pérez había solicitado al rey una ayuda que no le sería concedida si se supiera que tenía casas en propiedad."
Cosme Pérez,solicitar al,una ayuda,"La misma fuente refiere que en otra ocasión un poeta escribió un entremés en que aludía a la propiedad de Cosme Pérez de unas casas en la calle de Cantarranas, junto a una pastelería, y Cosme Pérez le pidió al poeta que omitiera esa alusión, pues Cosme Pérez había solicitado al rey una ayuda que no le sería concedida si se supiera que tenía casas en propiedad."
Cotarelo,recoger,el testimonio,"Por otro lado, siguiendo con las anécdotas que se le atribuían a 'Juan Rana', Pellicer y después Cotarelo recogen el testimonio de Juan Caramuel, en la obra Primus calamus de Juan Caramuel, de donde traducen la siguiente anécdota, referida a 'Juan Rana': En Madrid, el Salón del Palacio, llamado el Bello (o Buen) Retiro, donde se representan las comedias, tiene alrededor algunas ventanas o balcones, que corresponden a los aposentos donde se sientan los Grandes cuando se representan las comedias."
Juan Rana,introducir,dos forasteros,"En cierto entremés, en que Juan Rana, el gracioso más festivo que conoció España, haciendo el papel de Alcayde de aquel Palacio, introdujo dos forasteros, a quienes Juan Rana mostró todo lo que había digno de verse en él; y cuando Juan Rana llegó a mostrarles el teatro colgado, como se ha dicho, de preciosas pinturas entre las ventanas o balcones, les dijo: -Este es el Salón donde se canta y representan las Comedias."
Juan Rana,llegar,cierto entremés,"En cierto entremés, en que Juan Rana, el gracioso más festivo que conoció España, haciendo el papel de Alcayde de aquel Palacio, introdujo dos forasteros, a quienes Juan Rana mostró todo lo que había digno de verse en él; y cuando Juan Rana llegó a mostrarles el teatro colgado, como se ha dicho, de preciosas pinturas entre las ventanas o balcones, les dijo: -Este es el Salón donde se canta y representan las Comedias."
Cosme Pérez,pasar,el tribunal,"Sin embargo, como observa H. Bergman, las obras breves testimonian también la actuación por parte de Cosme Pérez en otros papeles, por ejemplo el de médico, así en El doctor Juan Rana: ""Tan ligero soy de cholla, / señores, que Cosme Pérez se ha pasado / desde el tribunal de alcalde / al de médico, de un salto""."
Bergman,notar,una posible alusión,En algunos entremeses de Quiñones de Benavente —véase más abajo para el listado completo de aquellos en cuya representación participó Cosme Pérez— Bergman nota una posible alusión al escándalo del que Cosme Pérez fue protagonista en 1636 cuando Cosme Pérez fue acusado de pecado nefando: véase el año correspondiente.
Cosme Pérez,acusar de,pecado,En algunos entremeses de Quiñones de Benavente —véase más abajo para el listado completo de aquellos en cuya representación participó Cosme Pérez— Bergman nota una posible alusión al escándalo del que Cosme Pérez fue protagonista en 1636 cuando Cosme Pérez fue acusado de pecado nefando: véase el año correspondiente.
F. Sáez Raposo,desligar,la génesis,"Sin embargo, F. Sáez Raposo desliga la génesis tanto del nombre como del apellido del personaje Juan Rana de un factor concreto y singular, y la establece a partir de componentes diversos: de carácter folclórico, relacionados con las características físicas del actor e incluso relativos al posible timbre de voz que el actor pudo tener."
Juan Rana,salir a,el año,"Según relata la Genealogía, ""Juan Rana estuvo retirado mucho tiempo por su edad y después de algunos años mandaron los Reyes que Juan Rana saliera a una fiesta del Retiro el año [dejado en blanco] y le sacaron en un carro""."
Juan Rana,salir a,una fiesta,"Según relata la Genealogía, ""Juan Rana estuvo retirado mucho tiempo por su edad y después de algunos años mandaron los Reyes que Juan Rana saliera a una fiesta del Retiro el año [dejado en blanco] y le sacaron en un carro""."
Cosme,salir en,un carro,"Varey y Shergold, en su edición de la Genealogía, relacionan este episodio con el estreno de la obra de Calderón Fieras afemina amor, en la que Cosme salió en un carro para actuar en el entremés de El triunfo de Juan Rana, en el que Juan Rana actuó."
Varey,recoger,el juicio,"Varey y Shergold recogen el juicio de Cotarelo y Mori, quien supuso primero que la obra Fieras afemina amor fue estrenada en 1668, aunque en otro lugar afirmó que la obra Fieras afemina amor fue estrenada con motivo de la celebración del cumpleaños de la reina madre, Mariana de Austria, que era el 22 de diciembre de 1669 pero que se aplazó hasta enero de 1670."
M. L. Lobato,evocar,", por su parte","Como evoca, por su parte, M. L. Lobato, el lujo de esta fiesta provocó violentas reacciones, entre las que se incluyeron pasquines como el titulado A la fiesta que hizo en el Príncipe de Astillano en el Retiro a los Reyes el 29 de enero de 1672, donde se aconsejaba al Rey elegir mejor a su privado y donde se citaba también al personaje teatral 'Juan Rana': ""La milicia castellana, / para vencer en la lid, / solía sacar al Zid, / y ahora sale Juan Rana, / que después de sepultado / a las cosas de honor, / como al buen Cid Campeador / le tienen empapelado""."
Juan Rana,participar en,la representación,"Según F. Sáez Raposo, la primera aparición escénica del personaje ""Juan Rana"" habría tenido lugar hacia 1624, cuando Juan Rana participó en la representación de la comedia de Lope de Vega Lo que ha de ser."
Juan Rana,participar,la representación,"El mismo investigador señala el lustro comprendido entre 1625 y 1630 como fecha en la que Juan Rana participaría también en la representación de la comedia de Juan Pérez de Montalbán titulada El segundo Séneca de España, don Felipe II, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama."
Cosme Pérez,tener,", don Felipe II, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama","El mismo investigador señala el lustro comprendido entre 1625 y 1630 como fecha en la que Juan Rana participaría también en la representación de la comedia de Juan Pérez de Montalbán titulada El segundo Séneca de España, don Felipe II, donde Cosme Pérez tuvo un papel de mucha mayor relevancia que el anterior, no sólo en cuanto a su extensión, sino en su implicación en la trama."
Sáez Raposo,deducir,A partir de las palabras,"A partir de las palabras pronunciadas por el personaje de ""Bartola, sobrina de Juan Rana"" en el momento en que Bartola le anuncia y presenta en escena, Sáez Raposo deduce que el actor Juan Rana ya era bien conocido por el público, lo que no podría deberse sólo al pequeño papel interpretado en la citada comedia de Lope: El texto no contiene referencias ambiguas que requieran sustitución, ya que los sujetos y complementos están explícitos y claros en el diálogo."
Cosme Pérez,indicar,", a la compañía","El reparto que figura en el manuscrito, que hemos consultado, podía corresponder, como ya indicó Rennert, a la compañía de Juan Bautista Valenciano y en el reparto figura ""Cosme"" —probablemente Cosme Pérez— en el papel de ""Leonardo""."
Rennert,indicar,", a la compañía","El reparto que figura en el manuscrito, que hemos consultado, podía corresponder, como ya indicó Rennert, a la compañía de Juan Bautista Valenciano y en el reparto figura ""Cosme"" —probablemente Cosme Pérez— en el papel de ""Leonardo""."
Rennert,indicar,", a la compañía","El reparto que figura en el manuscrito, que hemos consultado, correspondería, como ya indicó Rennert, a la compañía de Juan Bautista Valenciano y en él figura ""Cosme Pérez"" —como ya supuso Rennert, se trataría de Cosme Pérez— en el papel de ""El Capitán Medrano""."
Cosme Pérez,aprender,su papel,"Dicho investigador sugirió que Cosme Pérez quizá aprendió su papel de gracioso de Tomás Fernández de Cabredo, el autor con el que Cosme Pérez trabajó años más tarde y que era especialista en el mismo—."
Cosme Pérez,trabajar,años más tarde,"Dicho investigador sugirió que Cosme Pérez quizá aprendió su papel de gracioso de Tomás Fernández de Cabredo, el autor con el que Cosme Pérez trabajó años más tarde y que era especialista en el mismo—."
Luis Quiñones de Benavente,escribir,su parte,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos Cosme Pérez aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Luis Quiñones de Benavente,escribir,Cosme Pérez,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos Cosme Pérez aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Luis Quiñones de Benavente,escribir,varias piezas,"Por su parte, Luis Quiñones de Benavente escribió varias piezas para Cosme Pérez, en cuyos repartos Cosme Pérez aparece bien bajo el nombre de Cosme Pérez o de su apodo 'Juan Rana'."
Cotarelo,recordar,relación con este entremés,"En relación con este entremés, Cotarelo recuerda que uno de los temas de concurso de la academia burlesca celebrada en el Buen Retiro durante las fiestas de Carnaval de 1637 fue ""doce redondillas digan la razón por qué las beatas no tienen unto, y si basta la opinión del personaje Juan Rana para que se crea""."
Cosme Pérez,trabajar,"como ""Cosme [Pérez]"", representado por Pedro de la Rosa —en cuya compañía trabajaba entonces probablemente Cosme Pérez— y Tomás Fernández, según Bergman probablemente en 1637","4) El entremés El mago, en cuyo reparto figura como ""Cosme [Pérez]"", representado por Pedro de la Rosa —en cuya compañía trabajaba entonces probablemente Cosme Pérez— y Tomás Fernández, según Bergman probablemente en 1637."
Quiñones Pipote,escribir,"El entremés atribuido a Quiñones Pipote en nombre de Juan Rana, en cuyo reparto figura como ""Cosme Pérez"", que Quiñones Pipote escribió, según Bergman, probablemente entre 1634 y 1640","El entremés atribuido a Quiñones Pipote en nombre de Juan Rana, en cuyo reparto figura como ""Cosme Pérez"", que Quiñones Pipote escribió, según Bergman, probablemente entre 1634 y 1640."
Quiñones Pipote,escribir,Bergman,"El entremés atribuido a Quiñones Pipote en nombre de Juan Rana, en cuyo reparto figura como ""Cosme Pérez"", que Quiñones Pipote escribió, según Bergman, probablemente entre 1634 y 1640."
Cosme Pérez,figurar,1634,"Segunda parte, en cuyo reparto figura ""Cosme Pérez"", personaje representado, según Bergman, probablemente entre 1634 y 1640 por las compañías de Tomás Fernández o Pedro de la Rosa."
Cosme Pérez,figurar,Bergman,"Segunda parte, en cuyo reparto figura ""Cosme Pérez"", personaje representado, según Bergman, probablemente entre 1634 y 1640 por las compañías de Tomás Fernández o Pedro de la Rosa."
Cosme Pérez,figurar,las compañías,"Segunda parte, en cuyo reparto figura ""Cosme Pérez"", personaje representado, según Bergman, probablemente entre 1634 y 1640 por las compañías de Tomás Fernández o Pedro de la Rosa."
Juan Rana,representar,M. L. Lobato,"Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Juan Rana,representar,", hacia 1655","Por otro lado, Antonio de Solís compuso también algunas de sus obras para Juan Rana, entre ellas el entremés Los volatines, que Juan Rana representó, según M. L. Lobato, hacia 1655 con motivo de la fiesta que la Infanta María Teresa de Austria mandó hacer en el Salón del Palacio de Buen Retiro."
Antonio de Solís,contar,Juan Rana,"Según apunta M. L. Lobato, Antonio de Solís contó también con Juan Rana para el entremés titulado La Zarzuela, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad el rey"" en un día de mucho frío, según se indica en el primer verso del entremés."
Antonio de Solís,contar,el entremés titulado,"Según apunta M. L. Lobato, Antonio de Solís contó también con Juan Rana para el entremés titulado La Zarzuela, el cual, según el manuscrito que se conserva de la obra, se hizo en el Palacio de la Zarzuela con motivo de una ""Fiesta que se representó a Su Majestad el rey"" en un día de mucho frío, según se indica en el primer verso del entremés."
Solís,escribir para,el entremés,"Según recuerda M. L. Lobato, Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Solís,escribir para,el actor,"Según recuerda M. L. Lobato, Solís también escribió para el actor Juan Rana el entremés El retrato de Juan Rana, pieza totalmente diferente, según afirma dicha investigadora, del que años más tarde hizo Calderón con el mismo título."
Bernarda Ramírez,actuar,En el entremés,En el entremés también actuó Bernarda Ramírez.
M. L. Lobato,deducir,", a partir del hecho","La pieza se representó en palacio y M. L. Lobato deduce, a partir del hecho de que en las alabanzas finales se omite cualquier referencia al príncipe Felipe Próspero, que el entremés fue anterior al nacimiento del príncipe Felipe Próspero, que tuvo lugar en noviembre de 1657."
Juan Rana,intervenir en,la representación,"Además, Juan Rana intervino en la representación de otras piezas de teatro breve de Solís, como el sainete Las fiestas bacanales: véase más abajo el año 1655."
Juan Rana,intervenir en,la representación,"Asimismo, Juan Rana intervino en la representación del entremés Salta en banco, del entremés El niño caballero y del sainete Aguardad, supremos dioses, que se representaron junto a la comedia Triunfos de Amor y Fortuna, todos ellos obra del mismo Solís: véase más abajo el año 1658."
Cotarelo,ofrecer,Aparte de las piezas breves,"Aparte de las piezas breves mencionadas a lo largo de la presente entrada, Cotarelo ofreció un primer corpus de los entremeses que diferentes poetas escribieron para Sebastián de Prado o su personaje, corpus que ha sido actualizado y completado modernamente por Sáez Raposo, quien repasa también algunos problemas de atribución de estas obras."
Cotarelo,ofrecer,un primer corpus,"Aparte de las piezas breves mencionadas a lo largo de la presente entrada, Cotarelo ofreció un primer corpus de los entremeses que diferentes poetas escribieron para Sebastián de Prado o su personaje, corpus que ha sido actualizado y completado modernamente por Sáez Raposo, quien repasa también algunos problemas de atribución de estas obras."
Cosme Pérez,formar parte,Cotarelo,"Según Cotarelo, a quien sigue Sáez Raposo, Cosme Pérez formaba parte este año de la compañía de Juan Bautista Valenciano."
Cosme Pérez,formar parte,este año,"Según Cotarelo, a quien sigue Sáez Raposo, Cosme Pérez formaba parte este año de la compañía de Juan Bautista Valenciano."
Cosme Pérez,formar parte,la compañía,"Según Cotarelo, a quien sigue Sáez Raposo, Cosme Pérez formaba parte este año de la compañía de Juan Bautista Valenciano."
Cosme Pérez,aparecer en,la nómina,"Cosme Pérez aparece en la nómina de la compañía de Antonio de Prado incluida en un concierto, fechado en Madrid el 18 de marzo, entre Antonio de Prado y la Villa de Madrid sobre la representación de dos autos para la fiesta del Corpus."
Cosme Pérez,pertenecer a,Cotarelo,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien envió a Cosme Pérez este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía."
Cosme Pérez,pertenecer a,la compañía,"Según Cotarelo, Cosme Pérez pertenecía a la compañía de Tomás Fernández Cabredo, quien envió a Cosme Pérez este año a Madrid con la limosna de su compañía para la Cofradía de Nuestra Señora de la Novena, según se hacía constar en los libros de la Cofradía."
Cosme Pérez,asistir,Genealogía,"El primer cabildo de la Cofradía de Nuestra Señora de la Novena al que asistió Cosme Pérez, según la Genealogía, fue el cabildo celebrado el 25 de junio."
Cosme Pérez,volver,Cotarelo,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,volver,este año,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,volver,Cofradía de Nuestra Señora de la Novena,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,entregar,nombre de la compañía,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,entregar,este caso,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Cosme Pérez,entregar,la limosna,"Según Cotarelo, este año Cosme Pérez volvió a entregar una limosna a la Cofradía de Nuestra Señora de la Novena, aunque no explicita si en este caso también Cosme Pérez entregó la limosna en nombre de la compañía de Tomás Fernández."
Pedro,bautizar en,iglesia de Nuestra Señora de San Lorenzo de Valladolid,"Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
Pedro,bautizar en,un documento fechado en Valladolid el 9 de marzo,"Según un documento fechado en Valladolid el 9 de marzo, Pedro, hijo de los actores Pedro de la Rosa y Catalina Nicolás, su mujer, que vivían en la calle de las Comedias, fue bautizado en la iglesia de Nuestra Señora de San Lorenzo de Valladolid, actuando como padrinos los actores Antonio de Vitoria y Josefa Román, y como testigos los actores Cosme Pérez y Antonio Ramos."
Cosme Pérez,recibir,"un concierto, fechado en Madrid el 16 de febrero, del actor Cosme Pérez para representar ""la parte principal de la graciosidad"" en la compañía de Pedro de la Rosa, por lo que Cosme Pérez recibiría 10 rs","Consta un concierto, fechado en Madrid el 16 de febrero, del actor Cosme Pérez para representar ""la parte principal de la graciosidad"" en la compañía de Pedro de la Rosa, por lo que Cosme Pérez recibiría 10 rs."
Valdés,acusar a,Agustín Merlo,"El escándalo empezó hacia el 18 de octubre con la detención de un tal Agustín Merlo por mantener una reyerta con el hijo de un músico de la capilla real llamado Valdés, y Valdés acusó a Agustín Merlo de haberle requerido sexualmente."
Rosa,efectuar,"Francisco de Velasco y a Cosme Pérez, apodado 'Rana', hacia el día 10 de julio, para que Rosa efectuara cincuenta representaciones seguidas","Para que Rosa, estante en Madrid, acudiera a Valencia con toda su compañía, teniendo que traer sobre todo a Francisco de Velasco y a Cosme Pérez, apodado 'Rana', hacia el día 10 de julio, para que Rosa efectuara cincuenta representaciones seguidas."
Pedro de la Rosa,acudir a,Valencia,"Consta una escritura, fechada en Valencia el 10 de marzo, por la que el clavario del Hospital General de Valencia concertó con el autor Pedro de la Rosa que Pedro de la Rosa acudiría a Valencia con toda la compañía de Pedro de la Rosa, que se hallaba en Zaragoza."
Pedro de la Rosa,acudir a,toda la compañía,"Consta una escritura, fechada en Valencia el 10 de marzo, por la que el clavario del Hospital General de Valencia concertó con el autor Pedro de la Rosa que Pedro de la Rosa acudiría a Valencia con toda la compañía de Pedro de la Rosa, que se hallaba en Zaragoza."
Juan Rana,formar parte,la compañía,Juan Rana formó parte de la compañía de Pedro de la Rosa que representó en el Corpus de Sevilla.
Sánchez Arjona,estar en,Sevilla,"Cotarelo, al tomar esta información de Sánchez Arjona, afirma que Sánchez Arjona estuvo en Sevilla y Málaga."
Sánchez Arjona,decir,una estancia,Pero nada dice Sánchez Arjona sobre una estancia en Málaga.
Cosme Pérez,entregar,una limosna,"Cosme Pérez entregó una limosna a la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que Cosme Pérez formaba parte."
Cosme Pérez,entregar,Cofradía de Nuestra Señora de la Novena,"Cosme Pérez entregó una limosna a la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que Cosme Pérez formaba parte."
Cotarelo,suponer,su parte,"Por su parte, según supone Cotarelo —probablemente a partir de esta noticia de la Genealogía—, Cosme Pérez pasó la primera parte del año en Valencia, desde donde Cosme Pérez llevó a Madrid una limosna para la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que Cosme Pérez formaba parte."
Cotarelo,suponer,partir de esta noticia,"Por su parte, según supone Cotarelo —probablemente a partir de esta noticia de la Genealogía—, Cosme Pérez pasó la primera parte del año en Valencia, desde donde Cosme Pérez llevó a Madrid una limosna para la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que Cosme Pérez formaba parte."
Cosme Pérez,pasar,Valencia,"Por su parte, según supone Cotarelo —probablemente a partir de esta noticia de la Genealogía—, Cosme Pérez pasó la primera parte del año en Valencia, desde donde Cosme Pérez llevó a Madrid una limosna para la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que Cosme Pérez formaba parte."
Cosme Pérez,pasar,la primera parte,"Por su parte, según supone Cotarelo —probablemente a partir de esta noticia de la Genealogía—, Cosme Pérez pasó la primera parte del año en Valencia, desde donde Cosme Pérez llevó a Madrid una limosna para la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que Cosme Pérez formaba parte."
Cosme Pérez,llevar a,una limosna,"Por su parte, según supone Cotarelo —probablemente a partir de esta noticia de la Genealogía—, Cosme Pérez pasó la primera parte del año en Valencia, desde donde Cosme Pérez llevó a Madrid una limosna para la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que Cosme Pérez formaba parte."
Cosme Pérez,llevar a,Madrid,"Por su parte, según supone Cotarelo —probablemente a partir de esta noticia de la Genealogía—, Cosme Pérez pasó la primera parte del año en Valencia, desde donde Cosme Pérez llevó a Madrid una limosna para la Cofradía de Nuestra Señora de la Novena procedente de la compañía de Pedro de la Rosa, de la que Cosme Pérez formaba parte."
